req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
201,3,103,20716965382,26593595948,26706145948,112550000,5876630566,1025,1
202,3,103,20732848049,26706145948,26892895948,186750000,5973297899,1660,215
203,3,103,20734438147,26892895948,26925345948,32450000,6158457801,112,225
204,3,103,20838454302,26925345948,27120845948,195500000,6086891646,1708,294
205,3,103,20996245279,27120845948,27151645948,30800000,6124600669,80,256
206,3,103,21077857787,27151645948,27370695948,219050000,6073788161,2000,181
207,3,103,21084579382,27370695948,27591195948,220500000,6286116566,2000,210
208,3,103,21103796585,27591195948,27690745948,99550000,6487399363,895,1
209,3,103,21144400797,27690745948,27736795948,46050000,6546345151,189,343
210,3,103,21423392185,27736795948,27888145948,151350000,6313403763,1308,211
211,3,103,22224749530,27888145948,28026695948,138550000,5663396418,1139,293
212,3,103,22345077535,28026695948,28142495948,115800000,5681618413,998,120
213,3,103,22697761032,28142495948,28271645948,129150000,5444734916,1065,253
214,3,103,22703351427,28271645948,28450595948,178950000,5568294521,1660,59
215,3,103,22721327674,28450595948,28530845948,80250000,5729268274,613,179
216,3,103,22792998625,28530845948,28638495948,107650000,5737847323,844,265
217,3,103,22833136459,28638495948,28684895948,46400000,5805359489,306,116
218,3,103,23377771279,28684895948,28798595948,113700000,5307124669,895,284
219,3,103,23387497292,28798595948,28985645948,187050000,5411098656,1661,219
220,3,103,23503866013,28985645948,29098695948,113050000,5481779935,895,271
221,3,103,23555726926,29098695948,29291145948,192450000,5542969022,1763,123
222,3,103,23647815454,29291145948,29505995948,214850000,5643330494,2000,97
223,3,103,23648708254,29505995948,29552095948,46100000,5857287694,246,230
224,3,103,23667510298,29552095948,29601545948,49450000,5884585650,386,17
225,3,103,23739392093,29601545948,29812945948,211400000,5862153855,2000,28
